"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"56","WBGene00000656","C09G5.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-80 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"57","WBGene00000659","K12D12.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-84 is an ortholog of human COL1A1 (collagen type I alpha 1 chain) and COLQ\; is predicted to be a structural constituent of cuticle."
"58","WBGene00000660","T21B4.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-85 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"59","WBGene00000665","C29E4.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-90 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"60","WBGene00000666","F09G8.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-91 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"61","WBGene00000667","W05B2.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-92 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle\; is expressed in the hypodermis."
"62","WBGene00000668","W05B2.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-93 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"63","WBGene00000672","ZK1010.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-97 is predicted to be a structural constituent of cuticle."
"64","WBGene00000674","F29C4.8","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-99 is an ortholog of human COL13A1 (collagen type XIII alpha 1 chain), COL4A1 (collagen type IV alpha 1 chain), and COL4A5 (collagen type IV alpha 5 chain)\; is predicted to be a structural constituent of cuticle\; localizes to the extracellular region, neuromuscular junction, and spanning component of plasma membrane\; is expressed in the epithelial system, the muscular system, and the nervous system."
"65","WBGene00000676","C18H7.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-102 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"66","WBGene00000682","Y41D4A.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-108 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"67","WBGene00000687","C34D4.15","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-113 is an ortholog of human OTOL1, C1QTNF7 (C1q and TNF related 7), and C1QTNF9 (C1q and TNF related 9)\; is predicted to be a structural constituent of cuticle."
"68","WBGene00000689","Y42H9B.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-115 is an ortholog of human COL16A1 (collagen type XVI alpha 1 chain)\; human COL16A1 exhibits integrin binding activity."
"69","WBGene00000691","T28C6.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-117 is predicted to be a structural constituent of cuticle."
"70","WBGene00000694","Y11D7A.11","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-120 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"71","WBGene00000698","C24F3.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-124 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"72","WBGene00000699","C29F4.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-125 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"73","WBGene00000702","F12F6.9","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-128 is an ortholog of human COL11A1 (collagen type XI alpha 1 chain), COL5A1 (collagen type V alpha 1 chain), and COL5A3 (collagen type V alpha 3 chain)\; human COL5A1 exhibits heparin binding activity, platelet-derived growth factor binding activity, and proteoglycan binding activity."
"74","WBGene00000704","F08G5.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-130 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle\; is expressed in the intestine and the vulva."
"75","WBGene00000707","F52B11.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-133 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"76","WBGene00000715","T15B7.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-142 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"77","WBGene00000717","B0222.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-144 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle\; is expressed in the hypodermis."
"78","WBGene00000718","B0222.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-145 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"79","WBGene00000719","T06E4.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-146 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"80","WBGene00000720","T06E4.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-147 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"81","WBGene00000722","B0024.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-149 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"82","WBGene00000724","AC3.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-151 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"83","WBGene00000728","F55C10.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-155 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"84","WBGene00000729","F57B7.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-156 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"85","WBGene00000731","D2023.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-158 is an ortholog of human COLQ\; is predicted to be a structural constituent of cuticle."
"86","WBGene00000732","F57B1.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-159 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"87","WBGene00000733","F57B1.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-160 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"88","WBGene00000734","C50B6.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-161 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"89","WBGene00000735","Y2H9A.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-162 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"90","WBGene00000739","T07H6.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-166 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"91","WBGene00000740","T10E10.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-167 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"92","WBGene00000741","T10E10.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-168 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"93","WBGene00000742","T10E10.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-169 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"94","WBGene00000743","T10E10.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-170 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"95","WBGene00000751","C34F6.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-178 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle\; is expressed widely."
"96","WBGene00000753","C44C10.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-180 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"97","WBGene00000755","R09A8.4","Pseudogene","Pseudogene","Pseudogene","col-182 is an ortholog of human OTOL1, C1QTNF7 (C1q and TNF related 7), and C1QTNF9 (C1q and TNF related 9)\; is predicted to be a structural constituent of cuticle."
"98","WBGene00000756","F02D10.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-183 is predicted to be a structural constituent of cuticle."
"99","WBGene00000758","H06A10.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-185 is predicted to be a structural constituent of cuticle."
"100","WBGene00000759","E03G2.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-186 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"101","WBGene00000767","C35D10.4","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: ubiquinone ","coq-8 is an ortholog of human ADCK3 and ADCK4\; is predicted to have ATP binding activity and transferase activity\; is involved in ubiquinone biosynthetic process\; is expressed in several tissues, including the coelomocyte, the hypodermis, the muscle cell, and the nervous system\; human orthologs of this gene are implicated in primary coenzyme Q10 deficiency 4."
"102","WBGene00000770","C40H1.1","mRNA functions","mRNA functions: processing","mRNA functions: processing: polyadenylation","cpb-1 is an ortholog of human CPEB3 (cytoplasmic polyadenylation element binding protein 3) and CPEB4 (cytoplasmic polyadenylation element binding protein 4)\; is predicted to have mRNA 3'-UTR binding activity\; is involved in meiotic cell cycle and spermatogenesis\; localizes to the cytoplasm\; is expressed in the germ line."
"103","WBGene00000772","B0414.5","mRNA functions","mRNA functions: processing","mRNA functions: processing: polyadenylation","cpb-3 is an ortholog of human CPEB1 and RP11-152F13.10\; is predicted to have mRNA 3'-UTR binding activity and translation regulator activity\; is expressed in the alimentary system, the body wall musculature, the digestive tract, the germ line, and the nervous system."
"104","WBGene00000778","D1069.2","Unassigned","Unassigned","Unassigned","cpn-2 is an ortholog of human CNN3, TAGLN, and TAGLN2\; human TAGLN2 exhibits cadherin binding activity."
"105","WBGene00000786","C25B8.3","Stress response","Stress response: osmotic","Stress response: osmotic","cpr-6 is an ortholog of human CTSB (cathepsin B)\; is predicted to have cysteine-type peptidase activity\; localizes to the lysosome."
"106","WBGene00000788","F32B5.8","Development","Development: general","Development: general","cpz-1 is an ortholog of human CTSZ (cathepsin Z)\; is predicted to have cysteine-type peptidase activity\; is involved in several processes, including animal organ development, ecdysis, collagen and cuticulin-based cuticle, and embryo development\; localizes to the collagen and cuticulin-based cuticle extracellular matrix\; is expressed in several tissues, including the alimentary system, the epithelial system, and the reproductive system."
"107","WBGene00000799","K04H4.6","Development","Development: apoptosis","Development: apoptosis","crn-6 is an ortholog of human DNASE2B\; exhibits deoxyribonuclease II activity\; is involved in apoptotic DNA fragmentation\; is expressed in the seam cell."
"108","WBGene00000851","C47G2.1","Extracellular material","Extracellular material: cuticlin","Extracellular material: cuticlin","cut-1 is predicted to be a structural constituent of cuticle\; localizes to the collagen and cuticulin-based cuticle extracellular matrix\; is expressed in the seam cell."
"109","WBGene00000872","F11H8.4","Development","Development: somatic","Development: somatic","cyk-1 is an ortholog of human DIAPH1 (diaphanous related formin 1), DIAPH2 (diaphanous related formin 2), and DIAPH3 (diaphanous related formin 3)\; is predicted to have Rho GTPase binding activity and actin binding activity\; is involved in pronuclear migration\; localizes to the cleavage furrow and cytoplasmic side of plasma membrane\; colocalizes with the actomyosin contractile ring\; is expressed in the body wall musculature\; human orthologs of this gene are implicated in autosomal dominant nonsyndromic deafness 1 and premature ovarian failure."
"110","WBGene00000878","ZK520.5","Chaperone","Chaperone: cyclophilin","Chaperone: cyclophilin","cyn-2 is an ortholog of human PPIA (peptidylprolyl isomerase A), PPIAL4D, and PPIAL4G\; is predicted to have peptidyl-prolyl cis-trans isomerase activity."
"111","WBGene00000893","ZC250.1","Chaperone","Chaperone: cyclophilin","Chaperone: cyclophilin","cyn-17 is predicted to have peptidyl-prolyl cis-trans isomerase activity."
