source,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:MF,G protein-coupled olfactory receptor activity,GO:0038022,0.680898162,0.166917838,16,417,4,9802,"WBGENE00008637,WBGENE00011518,WBGENE00012575,WBGENE00021573"
GO:MF,RNA polymerase II transcription regulatory region sequence-specific DNA binding,GO:0000977,0.764388166,0.116686045,49,417,7,9802,"WBGENE00004750,WBGENE00006556,WBGENE00006557,WBGENE00006558,WBGENE00006559,WBGENE00022000,WBGENE00022795"
GO:MF,nucleotide binding,GO:0000166,1,0,1200,417,21,9802,"WBGENE00000189,WBGENE00006416,WBGENE00007977,WBGENE00008464,WBGENE00008883,WBGENE00010692,WBGENE00012010,WBGENE00012207,WBGENE00012785,WBGENE00012792,WBGENE00013801,WBGENE00013811,WBGENE00016541,WBGENE00017050,WBGENE00018178,WBGENE00019086,WBGENE00019190,WBGENE00019406,WBGENE00019814,WBGENE00020071,WBGENE00022707"
GO:MF,enzyme regulator activity,GO:0030234,1,0,233,417,1,9802,WBGENE00019646
GO:MF,carbohydrate binding,GO:0030246,1,0,59,417,6,9802,"WBGENE00004026,WBGENE00009748,WBGENE00018649,WBGENE00018650,WBGENE00044734,WBGENE00206478"
GO:MF,peptidase inhibitor activity,GO:0030414,1,0,80,417,1,9802,WBGENE00019646
GO:MF,structural constituent of chromatin,GO:0030527,1,0,84,417,5,9802,"WBGENE00001883,WBGENE00001907,WBGENE00001931,WBGENE00001932,WBGENE00001944"
GO:MF,signaling receptor regulator activity,GO:0030545,1,0,47,417,1,9802,WBGENE00002114
GO:MF,signaling receptor activator activity,GO:0030546,1,0,46,417,1,9802,WBGENE00002114
GO:MF,adenyl nucleotide binding,GO:0030554,1,0,925,417,19,9802,"WBGENE00006416,WBGENE00007977,WBGENE00008464,WBGENE00008883,WBGENE00010692,WBGENE00012010,WBGENE00012207,WBGENE00012785,WBGENE00012792,WBGENE00013801,WBGENE00013811,WBGENE00016541,WBGENE00017050,WBGENE00018178,WBGENE00019086,WBGENE00019190,WBGENE00019814,WBGENE00020071,WBGENE00022707"
GO:MF,U4 snRNA binding,GO:0030621,1,0,31,417,2,9802,"WBGENE00014266,WBGENE00235247"
GO:MF,pre-mRNA 5'-splice site binding,GO:0030627,1,0,20,417,2,9802,"WBGENE00006344,WBGENE00045091"
GO:MF,protein-macromolecule adaptor activity,GO:0030674,1,0,25,417,1,9802,WBGENE00004507
GO:MF,mitochondrion targeting sequence binding,GO:0030943,1,0,2,417,1,9802,WBGENE00009313
GO:MF,"alpha-(1,2)-fucosyltransferase activity",GO:0031127,1,0,20,417,1,9802,WBGENE00015872
GO:MF,histone H3K79 methyltransferase activity,GO:0031151,1,0,6,417,2,9802,"WBGENE00008367,WBGENE00012302"
GO:MF,carboxylic acid binding,GO:0031406,1,0,13,417,1,9802,WBGENE00004026
GO:MF,inorganic cation transmembrane transporter activity,GO:0022890,1,0,234,417,1,9802,WBGENE00022582
GO:MF,L-ascorbic acid binding,GO:0031418,1,0,10,417,1,9802,WBGENE00004026
GO:MF,purine ribonucleotide binding,GO:0032555,1,0,1032,417,20,9802,"WBGENE00000189,WBGENE00006416,WBGENE00007977,WBGENE00008464,WBGENE00008883,WBGENE00010692,WBGENE00012010,WBGENE00012207,WBGENE00012785,WBGENE00012792,WBGENE00013801,WBGENE00013811,WBGENE00016541,WBGENE00017050,WBGENE00018178,WBGENE00019086,WBGENE00019190,WBGENE00019814,WBGENE00020071,WBGENE00022707"
GO:MF,adenyl ribonucleotide binding,GO:0032559,1,0,874,417,19,9802,"WBGENE00006416,WBGENE00007977,WBGENE00008464,WBGENE00008883,WBGENE00010692,WBGENE00012010,WBGENE00012207,WBGENE00012785,WBGENE00012792,WBGENE00013801,WBGENE00013811,WBGENE00016541,WBGENE00017050,WBGENE00018178,WBGENE00019086,WBGENE00019190,WBGENE00019814,WBGENE00020071,WBGENE00022707"
GO:MF,guanyl ribonucleotide binding,GO:0032561,1,0,159,417,1,9802,WBGENE00000189
GO:MF,acetylcholine receptor binding,GO:0033130,1,0,1,417,1,9802,WBGENE00004507
GO:MF,FFAT motif binding,GO:0033149,1,0,6,417,1,9802,WBGENE00010254
GO:MF,amide binding,GO:0033218,1,0,38,417,1,9802,WBGENE00009313
GO:MF,chondroitin sulfotransferase activity,GO:0034481,1,0,28,417,5,9802,"WBGENE00008908,WBGENE00010165,WBGENE00011778,WBGENE00016284,WBGENE00018630"
GO:MF,purine ribonucleoside triphosphate binding,GO:0035639,1,0,1017,417,20,9802,"WBGENE00000189,WBGENE00006416,WBGENE00007977,WBGENE00008464,WBGENE00008883,WBGENE00010692,WBGENE00012010,WBGENE00012207,WBGENE00012785,WBGENE00012792,WBGENE00013801,WBGENE00013811,WBGENE00016541,WBGENE00017050,WBGENE00018178,WBGENE00019086,WBGENE00019190,WBGENE00019814,WBGENE00020071,WBGENE00022707"
GO:MF,pre-mRNA binding,GO:0036002,1,0,53,417,3,9802,"WBGENE00006344,WBGENE00014322,WBGENE00045091"
